# Constructed from biom file														
#OTU ID	K-7-4	K-7-5	K-7-6	K-7-7	M1-7-1	M1-7-2	M1-7-3	M1-7-4	M2-7-1	M2-7-2	M2-7-3	M2-7-4	M2-7-5	taxonomy
3d7ec42416aed2336b487c8e80a86ffd	0.070234584	0.259948955	0.169061708	0.556328234	0.200171576	0.409621754	0.031251628	0.49485439	0.339673913	0.116189001	0.348605578	0.033936652	0.127473258	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__DSM-5069;g__Pseudothermotoga_B;s__Pseudothermotoga_B elfii
e0cd494c65b922aa6dc7b893134de4ab	0	0.033084413	0.084530854	0.105510527	0.142979697	0.061007495	0	0.223341362	0.030879447	0.103279112	0.211653386	0	0.033253893	d__Bacteria;p__Thermotogota;c__Thermotogae;o__UBA12178;f__UBA12178;g__UBA12178;s__UBA12178 sp003538775
b2b42499dbaf3b5b7aec332ad796fe24	0	0	0	0	0.142979697	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Thermobrachium;s__Thermobrachium celere
c40e04ddc712e071d19461a380ce551e	0.271573723	0.510445222	0.100380389	0.657042828	0.114383758	0	0.453148601	0.543026056	0.160573123	0	0	0.03959276	0.343623566	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__Thermovirga;s__Thermovirga lienii
3b28f1b5cf06f4829ac2774431cb9062	0	0	0	0	0.114383758	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Trichococcus
c91d9f7159117e087e62713e689858e8	0	0	0	0	0.114383758	0	0	0	0	0	0	0	0	d__Bacteria;p__Thermotogota;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Thermotoga
1a334826e56cc2cfdd265cc10e0d1e4f	0	0	0	0	0.100085788	0	0	0	0	0	0	0	0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Acetomicrobiaceae;g__Acetomicrobium
33a3ed0ac68c519aa3227d93c2cd301a	0	0	0.100380389	0	0.085787818	0	0	0	1.630434783	0	0	0.056561086	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Caldicoprobacterales;f__Caldicoprobacteraceae;g__Caldicoprobacter;s__Caldicoprobacter algeriensis
77499993412a1bba1af09e17559cd018	0	0	0	0	0.085787818	0	0	0	0	0	0	0	0	d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Thermovirgaceae;g__Thermovirga;s__Thermovirga lienii
288c22de77db24fbcbc310f210721d64	0	0	0	0	0.071489848	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Caloramatoraceae;g__Thermobrachium;s__Thermobrachium celere
2a8b3c05cdc5e2a5201b0d554df03c64	0	0	0	0	0.071489848	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Thermoanaerobacteria;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermoanaerobacter
3b01cd2cc825ebf87d5ab0c8e07a5738	0	0	0.015849535	0	0.057191879	0	0	0.056930151	0.043231225	0	0	0	0	d__Bacteria;p__Bacillota_G;c__Limnochordia;o__Limnochordales;f__Bu05;g__Bu05;s__Bu05 sp014896295
905914c0ef5c0cf0f7499408b2e81c54	0	0	0	0	0.057191879	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Thermosediminibacteria;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Biomaibacter;s__Biomaibacter acetigenes
ce12fdd580a015bef37c4cc62743681b	0	0	0	0	0.057191879	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Mahellales;f__Mahellaceae;g__Mahella;s__Mahella australiensis
6fcad3ee65094bcf9c8ee845a594d1b7	0	0	0	0	0.042893909	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae
6e0282f5de6ec9d4fa9df198ef5b2909	0.014046917	0.018905379	0	0	0.028595939	0	0	0.056930151	0	0	0	0	0	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Sedimentisphaerales;f__Anaerohalosphaeraceae;g__T3Sed10-213;s__T3Sed10-213 sp011048645
d217ea927a05cdd5ce12fc1e4db0bd98	0	0	0	0	0.028595939	0	0	0	0	0	0	0	0	d__Bacteria;p__Bacillota_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus sp927405585
